wn,acac,ozone,h2o
400.036334,0,3.02E-03,0.00E+00
400.1568632,0,3.49E-03,0.00E+00
400.2773924,0.00E+00,3.66E-03,0.00E+00
400.3979215,0,3.52E-03,0.00E+00
400.5184507,0,3.20E-03,0.00E+00
400.6389799,0,2.79E-03,0.00E+00
400.7595091,0,2.41E-03,0.00E+00
400.8800382,0,2.08E-03,0.00E+00
401.0005674,0,1.82E-03,0.00E+00
401.1210966,0,1.63E-03,0.00E+00
401.2416258,0,1.48E-03,0.00E+00
401.3621549,0,1.35E-03,0.00E+00
401.4826841,0,1.21E-03,0.00E+00
401.6032133,0,1.03E-03,0.00E+00
401.7237425,0,8.18E-04,0.00E+00
401.8442716,0,5.54E-04,0.00E+00
401.9648008,0,2.52E-04,0.00E+00
402.08533,0,-6.77E-05,0.00E+00
402.2058592,0,-3.73E-04,0.00E+00
402.3263883,0,-6.26E-04,0.00E+00
402.4469175,0,-7.80E-04,0.00E+00
402.5674467,0,-8.00E-04,0.00E+00
402.6879759,0,-6.89E-04,0.00E+00
402.808505,0,-4.96E-04,0.00E+00
402.9290342,0,-2.78E-04,0.00E+00
403.0495634,0,-8.02E-05,0.00E+00
403.1700926,0,7.45E-05,0.00E+00
403.2906217,0,1.82E-04,0.00E+00
403.4111509,0,2.49E-04,0.00E+00
403.5316801,0,2.94E-04,0.00E+00
403.6522093,0,3.46E-04,0.00E+00
403.7727384,0,4.35E-04,0.00E+00
403.8932676,0,5.89E-04,0.00E+00
404.0137968,0,8.23E-04,0.00E+00
404.134326,0,1.16E-03,0.00E+00
404.2548551,0,1.63E-03,0.00E+00
404.3753843,0,2.29E-03,0.00E+00
404.4959135,0,3.20E-03,0.00E+00
404.6164427,0,4.33E-03,0.00E+00
404.7369718,0,5.34E-03,0.00E+00
404.857501,0,5.59E-03,0.00E+00
404.9780302,0,5.03E-03,0.00E+00
405.0985594,0,4.25E-03,0.00E+00
405.2190886,0,3.57E-03,0.00E+00
405.3396177,0,3.04E-03,0.00E+00
405.4601469,0,2.63E-03,0.00E+00
405.5806761,0,2.31E-03,0.00E+00
405.7012053,0,2.04E-03,0.00E+00
405.8217344,0,1.82E-03,0.00E+00
405.9422636,0,1.64E-03,0.00E+00
406.0627928,0,1.50E-03,0.00E+00
406.183322,0,1.41E-03,0.00E+00
406.3038511,0,1.34E-03,0.00E+00
406.4243803,0,1.30E-03,0.00E+00
406.5449095,0,1.26E-03,0.00E+00
406.6654387,0,1.21E-03,0.00E+00
406.7859678,0,1.15E-03,0.00E+00
